"Braxton Miller, Hou",KC,22nd,3,3,25,8,0,0,0,0,0,1.8,3000,0.61,Sun 8:30
"Chris Moore, Bal",@Oak,9th,2,0,0,1,0,0,0,0,0,0,3000,0,Sun 4:05
"Breshad Perriman, Bal",@Oak,9th,4,2,11,13,0,0,0,0,0,0.8,3000,0.26,Sun 4:05
"Walter Powell, Buf",@Cin,6th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Bernard Reedy, TB",NE,28th,3,1,6,1,0,3,0,0,0,0.6,3000,0.21,Thu 8:25
"Josh Reynolds, LA",Sea,7th,4,1,28,1,0,0,0,0,0,0.9,3000,0.32,Sun 4:05
"Demarcus Robinson, KC",@Hou,11th,4,2,9,2,0,0,0,0,0,0.7,3000,0.24,Sun 8:30
"Chester Rogers, Ind",SF,27th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Eli Rogers, Pit",Jax,1st,3,6,54,11,0,0,0,1,1,3.5,3000,1.16,Sun 1:00
"Rashawn Scott, Mia",Ten,31st,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Matt Slater, NE",@TB,32nd,--,--,--,--,--,--,--,--,--,0,3000,0,Thu 8:25
"ArDarius Stewart, NYJ",@Cle,12th,4,3,34,6,0,0,0,0,0,1.6,3000,0.53,Sun 1:00
"Ryan Switzer, Dal",GB,14th,4,0,0,0,0,6,0,1,1,-0.1,3000,-0.03,Sun 4:25
"Brandon Tate, Buf",@Cin,6th,2,0,0,0,0,0,0,0,0,0,3000,0,Sun 1:00
"De'Anthony Thomas, KC",@Hou,11th,4,2,12,2,0,4,0,0,0,0.9,3000,0.3,Sun 8:30
"Mike Thomas, LA",Sea,7th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 4:05
"Chris Thompson, Hou",KC,22nd,1,0,0,0,0,0,0,0,0,0,3000,0,Sun 8:30
"Eric Weems, Ten",@Mia,20th,4,0,0,1,0,0,0,0,0,0,3000,0,Sun 1:00
"Lucky Whitehead, NYJ",@Cle,12th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
"Chad Williams, Ari",@Phi,30th,2,2,23,3,0,0,0,0,0,2.1,3000,0.72,Sun 1:00
"Kasen Williams, Cle",NYJ,16th,3,1,10,6,0,0,0,0,0,0.7,3000,0.22,Sun 1:00
"James Wright, Cle",NYJ,16th,--,--,--,--,--,--,--,--,--,0,3000,0,Sun 1:00
